state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
West Bengal,Paschim Medinipur,Keshpur,Mugbasan,Upar Kuai,Kuai,1342909,6929645,420173692,Deep Tubewell,Ground Water,S.S.K.,Gram Panchayat,2014-2015,0.86,0.86,12-Oct-14,25-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Bishwanath Pur,Biswanathpur Hemrompara,1343823,6929645,420173700,Deep Tubewell,Ground Water,Patna Bazar,Gram Panchayat,2014-2015,0.86,0.86,12-Oct-14,25-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Mugbasan,Makul Chak,Manuchak,1343266,6929645,420173693,Deep Tubewell,Ground Water,Tarapada Bhagori,Gram Panchayat,2014-2015,0.86,0.86,12-Oct-14,25-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Mugbasan,Kulibahara,Kulbahara,1342899,6931156,420175109,Deep Tubewell,Ground Water,Shyamal Doloi,Gram Panchayat,2014-2015,0.82,0.82,02-Oct-14,12-Apr-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Golarh,Langal Dihi,Purbapara,1342863,6931185,420175154,Deep Tubewell,Ground Water,Sk Base Ali,Gram Panchayat,2014-2015,0.82,0.82,02-Nov-14,25-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Golarh,Ranbaj,Ranraj - Dolai Pukurpara,1342802,6931185,420175162,Deep Tubewell,Ground Water,Arjun Pakhor,Gram Panchayat,2014-2015,0.82,0.82,02-Nov-14,25-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Golarh,Ranbaj,Ranraj - Dolai Pukurpara,1342802,6931185,420175163,Deep Tubewell,Ground Water,S.S.K.,Gram Panchayat,2014-2015,0.82,0.82,02-Nov-14,25-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Golarh,Ranbaj,Ranraj - Dolai Pukurpara,1342802,6931185,420175164,Deep Tubewell,Ground Water,Shakti Mukherjee,Gram Panchayat,2014-2015,0.82,0.82,02-Nov-14,25-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Golarh,Konan,Konan - Uttarpara,1342803,6931185,420175169,Deep Tubewell,Ground Water,Shakti Puila,Gram Panchayat,2014-2015,0.82,0.82,02-Nov-14,25-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Golarh,Kashipur,Kashipur,1342836,6931185,420175160,Deep Tubewell,Ground Water,Shombhu Mallick,Gram Panchayat,2014-2015,0.82,0.82,02-Nov-14,25-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Jorakeudi Solidiha,Sankrui,Sankrai,1342591,6935939,420199566,Deep Tubewell,Ground Water,7no. Sankrai,Construction of 262 Nos Rig Bored Tubewell Spot Sources fitted with India Mark II hand pump at different sourceless Anganwari Centres located at Govt. Premises SM04899,2014-2015,247.13,364.60493,14-Nov-14,31-Mar-19,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Santarya,Santaria,1343111,6935939,420234903,Deep Tubewell,Ground Water,Satera ICDS,Construction of 262 Nos Rig Bored Tubewell Spot Sources fitted with India Mark II hand pump at different sourceless Anganwari Centres located at Govt. Premises SM04899,2014-2015,247.13,364.60493,14-Nov-14,31-Mar-19,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Teghori,Khanra Sai,Kharasai,1343015,6937928,420177912,Deep Tubewell,Ground Water,Modon Pator,Gram Panchayat,2014-2015,0.83,0.83,02-Nov-14,12-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Sirsa,Akmura,Akmura Doloipara,1342655,6938969,420178309,Deep Tubewell,Ground Water,Chinu Bhandari,Gram Panchayat,2014-2015,0.82,0.82,12-Oct-14,09-May-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Golarh,Khagra Gerya,Khasigeria Kolyapara,1342683,6940507,420178837,Deep Tubewell,Ground Water,Sk Mosjid Ali,Gram Panchayat,2014-2015,0.82,0.82,10-Oct-14,12-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Jagannathpur,Dalang,Dolong Paschimpara,1342971,6941049,420179022,Deep Tubewell,Ground Water,BAGAKHALI PRIMARY SCHOOL,BAGAKHALI PRIMARY SCHOOL,2014-2015,0.8,0.8,04-Apr-14,31-Mar-18,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Teghori,Dhakkata,Janarbandh,1343079,6956896,420183087,Deep Tubewell,Ground Water,Primary School,Gram Panchayat,2014-2015,0.82,0.82,15-Dec-14,12-Jan-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Sirsa,Golaugrasanda,Ruidaspara,1342667,6938882,420178270,Deep Tubewell,Ground Water,Nimai Ruidas,Gram Panchayat,2014-2015,0.82,0.82,02-Nov-14,30-Dec-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Uttar Piashala,Ghoshpara,1342770,6961440,420184462,Deep Tubewell,Ground Water,Nimai Ghosh,Gram Panchayat,2014-2015,0.82,0.82,01-Jan-15,05-Apr-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Charka,Mallick Para,1343175,6963124,420184878,Deep Tubewell,Ground Water,Sk Karim,Gram Panchayat,2014-2015,0.82,0.82,15-Dec-14,12-Jan-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Panch Khuiri,Parapara,1342744,6970342,420186360,Deep Tubewell,Ground Water,Asit Roy,Gram Panchayet,2014-2015,0.82,0.82,02-Jan-15,30-Jan-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Panch Khuiri,Ghatakpara,1342745,6970342,420186361,Deep Tubewell,Ground Water,Gojason Ghatak,Gram Panchayet,2014-2015,0.82,0.82,02-Jan-15,30-Jan-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Bahadur Patna,Bahadurpatna Patnadalepara,1342764,6970342,420186357,Deep Tubewell,Ground Water,Primary School,Gram Panchayet,2014-2015,0.82,0.82,02-Jan-15,30-Jan-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Jadupur,Barhmanpara,1342732,6970693,420186485,Deep Tubewell,Ground Water,Kamal Goswami,Gram Panchayet,2014-2015,0.82,0.82,15-Dec-14,17-May-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Bishwanath Pur,Mannapara,1343825,6990457,420190100,Deep Tubewell,Ground Water,Krishna Santra,Gram Panchayat,2014-2015,0.8,0.8,10-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Bishwanath Pur,Biswanathpur Hemrompara,1343823,6990457,420190105,Deep Tubewell,Ground Water,C.P.I(M) Party Office,Gram Panchayat,2014-2015,0.8,0.8,10-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Rupnarayanpur,Rupnarayanpur Allauddinpara,1343737,6990457,420190098,Deep Tubewell,Ground Water,Shitala Mandir,Gram Panchayat,2014-2015,0.8,0.8,10-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Rupnarayanpur,Rupnarayanpur Allauddinpara,1343737,6990457,420190099,Deep Tubewell,Ground Water,Primary School,Gram Panchayat,2014-2015,0.8,0.8,10-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Keshpur,Ichhai Pur,Purb Para,1343263,7012047,420192812,Deep Tubewell,Ground Water,Mohoboti Khan,Gram Panchayet,2014-2015,0.8,0.8,12-Jan-15,02-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Jadupur,Barhmanpara,1342732,7019970,420193554,Deep Tubewell,Ground Water,Joydev Das,Gram Panchayet,2014-2015,0.8,0.8,02-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Anandapur,Bhagirath Bar,Irra Gharai Para,1343236,7023694,420194055,Deep Tubewell,Ground Water,Biren Ghoroi,Gram Panchayet,2014-2015,0.82,0.82,02-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Kalagram,Bhimpur,Meity Para,1343328,7027263,420194734,Deep Tubewell,Ground Water,Mohanta Pandit,Gram Panchayet,2014-2015,0.8,0.8,02-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Kalagram,Kanpur,Dolaipara,1811551,7027263,420194728,Deep Tubewell,Ground Water,Montu Doloi,Gram Panchayet,2014-2015,0.8,0.8,02-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Mugbasan,Chhitka,Chilka,1342879,7027325,420194776,Deep Tubewell,Ground Water,Purnachandra Roy,Gram Panchayet,2014-2015,0.82,0.82,15-Feb-15,10-Mar-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Kalagram,Chhutar Gerya,Chhutar Gerya,1766912,7014932,420193022,Deep Tubewell,Ground Water,Sk Mojammel Ali,Gram Panchayet,2014-2015,0.8,0.8,02-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Kalagram,Akhra Pota,Sk. Para,1343390,7014932,420193025,Deep Tubewell,Ground Water,Sk Majed Ali,Gram Panchayet,2014-2015,0.8,0.8,02-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Kalagram,Akhra Pota,Sk. Para,1343390,7014932,420193024,Deep Tubewell,Ground Water,I.C.D.S.,Gram Panchayet,2014-2015,0.8,0.8,02-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Mohadi Chak,Mohadi Chak,1766766,7007614,420192436,Deep Tubewell,Ground Water,Hasibul Rahaman,Gram Panchayet,2014-2015,0.8,0.8,02-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Rupnarayanpur,Rupnarayanpur Allauddinpara,1343737,7007614,420192438,Deep Tubewell,Ground Water,Mosjid,Gram Panchayet,2014-2015,0.8,0.8,02-Jan-15,12-Feb-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Badar,Layek Para,1343849,7050308,420197298,Deep Tubewell,Ground Water,Kartik Tudu,Gram Panchayet,2014-2015,0.82,0.82,15-Feb-15,10-Mar-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Brahman Gerya,Bramhangeria Senguptapara,1343792,7050308,420197301,Deep Tubewell,Ground Water,Badal Hansda,Gram Panchayet,2014-2015,0.82,0.82,15-Feb-15,10-Mar-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Anandapur,Anandapur,Sk. Para,1343214,7070690,420201640,Deep Tubewell,Ground Water,G.P. Office,Gram Panchayet,2015-2016,0.84,0.84,02-Mar-15,25-Mar-15,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Kalagram,Gamar Hati,Madhyapara,1343345,7081050,420203899,Deep Tubewell,Ground Water,Gita Manna,Gram Panchayet,2015-2016,0.82,0.82,02-Mar-15,03-May-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Kalagram,Kalagram,Mal Para,1343344,7081050,420203893,Deep Tubewell,Ground Water,Dhana Pakhor,Gram Panchayet,2015-2016,0.82,0.82,02-Mar-15,03-May-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Anandapur,Anandapur,Hari Para,1343197,7082481,420204442,Deep Tubewell,Ground Water,Banbihari Sen,Gram Panchayet,2015-2016,0.82,0.82,02-Mar-15,12-Apr-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Anandapur,Anandapur,Bankata Jakharbari,1343182,7082481,420204445,Deep Tubewell,Ground Water,Sanjoy Kumari,Gram Panchayet,2015-2016,0.82,0.82,02-Mar-15,12-Apr-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Anandapur,Anandapur,Sk. Felo Para,1343219,7082481,420204440,Deep Tubewell,Ground Water,Akkel Khan,Gram Panchayet,2015-2016,0.82,0.82,02-Mar-15,12-Apr-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Keshur Gerya,Kheshargeria,1342786,2572521,2377237,Deep Tubewell,Ground Water,NA,Keshur Gerya,2010-2011,0.75,0,01-Oct-10,31-Mar-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Kalagram,Basan Chak,Bag Para,1343404,2572602,2377247,Deep Tubewell,Ground Water,NA,Basan Chak,2010-2011,0.75,0,01-Oct-10,31-Dec-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Chathla,Bishnupadamondalpara,1343747,2573061,2377209,Deep Tubewell,Ground Water,NA,Chathla,2010-2011,0.75,0,01-Oct-10,31-Mar-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Jhentla,Chand Bar,Dolai Para,1343596,2573236,2377201,Deep Tubewell,Ground Water,NA,Chand Bar,2010-2011,0.75,0,01-Oct-10,31-Mar-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Rasunchak,Janapara,1343449,2573264,2377248,Deep Tubewell,Ground Water,NA,Rasunchak,2010-2011,0.75,0,01-Oct-10,31-Mar-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Daka Gerya,Majhipara,1343457,2573729,2377250,Deep Tubewell,Ground Water,NA,Daka Gerya,2010-2011,0.75,0,01-Oct-10,31-Mar-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Sarishakhola,Sarisha Khola,Khansherif Para,1343471,4938080,4858965,Deep Tubewell,Ground Water,sarirshakholaSamirdhon HS U pr. school,sarisakhola samirhdon HS U pr school,2012-2013,1,1,01-Jul-12,31-Mar-13,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Sarishakhola,Digha,Bhunia Para,1343480,4938099,4858983,Deep Tubewell,Ground Water,Digha Pr. School,digha pr school,2012-2013,1,1,01-Jul-12,31-Mar-13,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Jhentla,Jiagerya,Jiageria,1343728,4938117,4859001,Deep Tubewell,Ground Water,Brahmanchak Pr. School,Brahmachak pry school,2012-2013,1,1,01-Jul-12,31-Mar-13,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Enayetpur,Badar,Singh Para,1343848,4938126,4859010,Deep Tubewell,Ground Water,Gopinathpur Pr. school,Gopinathpur pr school,2012-2013,1,1,01-Jul-12,31-Mar-13,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Mukti Chak,Amulia,1343161,4945956,4868939,Deep Tubewell,Ground Water,Muktichak SSK,Muktichak SSK,2012-2013,0.79,0.79,01-Jul-12,31-Mar-13,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Jhentla,Jhetla,Jhentla,1343670,4946124,4869081,Deep Tubewell,Ground Water,Bajgerya Adibasi Para,Bajgerya Adibasi Para,2012-2013,0.79,0.79,01-Jul-12,27-Mar-13,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Amrakuchi,Dolaipara,1343152,5252501,420019504,Deep Tubewell,Ground Water,Dolai Para,Amrakuchi  W/S Scheme,2012-2013,82.3,122.71081,10-Apr-13,27-Jul-17,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Anandapur,Anandapur,Chak Bazar,1343201,5712826,420001315,Deep Tubewell,Ground Water,CHAK BAZAR,Anandapur High School,2012-2013,0.85,0.85,20-Jan-13,22-Jan-13,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Jadupur,Napitpara,1342731,6060335,420008985,Deep Tubewell,Ground Water,NAPITPARA,AMANPUR,2011-2012,0.8,0.8,15-May-11,15-Aug-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Amanpur,Bumunpara,1342718,6060335,420008921,Deep Tubewell,Ground Water,BUMUNPARA,AMANPUR,2011-2012,0.8,0.8,15-May-11,15-Aug-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Uttar Piashala,Haripara,1342771,6060335,420009062,Deep Tubewell,Ground Water,HARIPARA,AMANPUR,2011-2012,0.8,0.8,15-May-11,15-Aug-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Keshur Gerya,Majherpara,1342788,6060335,420009060,Deep Tubewell,Ground Water,MAJHERPARA,AMANPUR,2011-2012,0.8,0.8,15-May-11,15-Aug-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Bhut Gerya,Bhutgeria,1342759,6060335,420008928,Deep Tubewell,Ground Water,BHUTGERIA,AMANPUR,2011-2012,0.8,0.8,15-May-11,15-Aug-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Lapara,Majherpara,1342723,6060335,420009048,Deep Tubewell,Ground Water,MAJHERPARA,AMANPUR,2011-2012,0.8,0.8,15-May-11,15-Aug-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Rajgram,Brahmangram Bhandaripara,1342709,6060335,420009044,Deep Tubewell,Ground Water,BRAHMANGRAM BHANDARIPARA,AMANPUR,2011-2012,0.8,0.8,15-May-11,15-Aug-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Tukura Pat,Dewanpara,1342728,6060335,420009063,Deep Tubewell,Ground Water,DEWANPARA,AMANPUR,2011-2012,0.8,0.8,15-May-11,15-Aug-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Dakshin Baharat,Mondal Para,1343485,6060335,420008992,Deep Tubewell,Ground Water,MONDAL PARA,AMANPUR,2011-2012,0.8,0.8,15-May-11,15-Aug-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Lakhunia,Lakhunia,1766702,6060335,420009051,Deep Tubewell,Ground Water,Lakhunia,AMANPUR,2011-2012,0.8,0.8,15-May-11,15-Aug-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Ratanpur,Ratanpur,1766759,6060335,420009043,Deep Tubewell,Ground Water,RATANPUR,AMANPUR,2011-2012,0.8,0.8,15-May-11,15-Aug-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Nagda,Gorait Para,1343109,6060710,420009167,Deep Tubewell,Ground Water,GORAIT PARA,AMRAKUCHI,2011-2012,0.75,0.75,15-Jul-11,15-Oct-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Panchami,Beltala,1343138,6060710,420009164,Deep Tubewell,Ground Water,BELTALA,AMRAKUCHI,2011-2012,0.75,0.75,15-Jul-11,15-Oct-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Kharika,Midyapara,1343147,6060710,420009173,Deep Tubewell,Ground Water,MIDYAPARA,AMRAKUCHI,2011-2012,0.75,0.75,15-Jul-11,15-Oct-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Kharika,Singpara,1343146,6060710,420009171,Deep Tubewell,Ground Water,SINGPARA,AMRAKUCHI,2011-2012,0.75,0.75,15-Jul-11,15-Oct-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Charka,Patna Para,1343171,6060710,420009125,Deep Tubewell,Ground Water,PATNA PARA,AMRAKUCHI,2011-2012,0.75,0.75,15-Jul-11,15-Oct-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amrakuchi,Khasla,Mallickpara,1343168,6060710,420009170,Deep Tubewell,Ground Water,MALLICKPARA,AMRAKUCHI,2011-2012,0.75,0.75,15-Jul-11,15-Oct-11,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Teghori,Chhoto Baruj,Samantapara,1343095,6124259,420012267,Deep Tubewell,Ground Water,S.S.K,S.S.K,2013-2014,0.83,0.83,15-Mar-13,20-Aug-13,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Keshpur,Keshpur,Paschimpara - 2,1343271,6154847,420013331,Deep Tubewell,Ground Water,T.W.2,Keshpur water supply scheme,2013-2014,150,0,05-Jan-13,05-Feb-16,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Keshpur,Keshpur,Madhyapara,1343272,6154851,420013332,Deep Tubewell,Ground Water,Tube Well 1,Keshpur water supply scheme,2013-2014,150,0,01-Feb-13,02-Feb-16,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Anandapur,Gamaria,Gamaria -chalakpara,1343242,6157106,420013592,Deep Tubewell,Ground Water,Hatpukur,Hatpukur,2013-2014,0.84,0.84,15-May-13,20-Aug-13,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Dhalhara,Narayan Chak,Das Para,1343589,6242457,420021873,Deep Tubewell,Ground Water,Narayan Chak M.S.K. School,Grampanchayet tubewell,2012-2013,0.8,0.8,20-May-12,27-May-12,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Dhalhara,Khirish Mul,Bona Mara,1343591,6278201,420024512,Deep Tubewell,Ground Water,Ratan Mandal,Grampanchayet tubewell,2013-2014,0.75,0.75,12-Apr-13,30-Sep-14,03-06-2024
West Bengal,Paschim Medinipur,Keshpur,Amanpur,Uttar Piashala,Banapatipara,1342769,6296211,420028436,Deep Tubewell,Ground Water,Piasala SSK,Piasala SSK,2010-2011,0.79,0.79,25-Aug-10,27-Aug-10,03-06-2024
